id,owner,title,Date taken,tags,latitude,longitude
23138663551,58887166@N02,Sydney Opera House,1444891620,sydney newsouthwales australia,-33.858598,151.213336
23113136612,58887166@N02,"James Craig, Darling Harbour Sydney",1444874520,pyrmont newsouthwales australia,-33.868381,151.198844
23101117636,58887166@N02,"Chinese Garden of Friendship, Darling Harbour",1444872540,haymarket newsouthwales australia,-33.876964,151.202752
23127262425,58887166@N02,"Chinese Garden Waterfall, Sydney",1444872120,sydney newsouthwales australia,-33.876173,151.203102
22708771667,58887166@N02,"QVB staircase, Sydney",1444863240,australia,,0
23113287722,58887166@N02,View from the No 8 ferry,1444848060,milsonspoint newsouthwales australia,-33.849737,151.210397
22735036889,58887166@N02,Sails of Steel and Ceramics,1444776000,sydney newsouthwales australia,-33.863239,151.22048
23113366492,58887166@N02,View from Farm Cove,1444773600,australia,0,0
22735111309,58887166@N02,View from Botanical Gardens,1444772520,sydney newsouthwales australia,-33.863545,151.219555
22735142369,58887166@N02,Kookaburra,1444769160,wildlife sydney newsouthwales australia,-33.864584,151.216158
23127481405,58887166@N02,Sunset at Nullabor,1444709340,brokenhill newsouthwales australia,-31.918939,141.558922
23127508815,58887166@N02,Mural at Broken Hill Railway Station,1444705980,streetart brokenhill newsouthwales australia,-31.959206,141.466763
23139076521,58887166@N02,"Canoe on Argent Street, Broken Hill NSW",1444703880,streetart australia,0,0
22709153228,58887166@N02,Col Light statue at Adelaide Oval,1444674660,statues northadelaide southaustralia australia,-34.91265,138.593894
22504868434,58887166@N02,Adelaide Market colours,1444669320,australia,0,0
23113608722,58887166@N02,Cook sign,1444602960,signs cook southaustralia australia,-30.615289,130.413441
22506410943,58887166@N02,Superpit digger,1444559460,mining australia,0,0
23113663772,58887166@N02,Indian Pacific Lounge Car,1444512840,australia,0,0
22709203837,58887166@N02,"Stamp graffiti on a train shelter, Perth",1444512720,streetart eastperth westernaustralia australia,-31.939609,115.87803
22735428589,58887166@N02,"Room to put yur feet up; sleeper cabin, Indian Pacific",1444511100,australia,0,0
22709355368,58887166@N02,That way to Sydney!,1444510260,eastperth westernaustralia australia,-31.944345,115.877113
22505061374,58887166@N02,"Nightwatchman, Fremantle docks",1444457640,fremantle westernaustralia australia,-32.052714,115.744391
23113809782,58887166@N02,Fremantle Gaol,1444449840,australia,0,0
22807657640,58887166@N02,Fremantle market,1444446660,australia,0,0
22709485018,58887166@N02,"Cappucino Strip, Fremantle",1444446060,fremantle westernaustralia australia,-32.05617,115.748305
23139490431,58887166@N02,"Kings Park Elevated walkway, Perth",1444435140,kingspark westernaustralia australia,-31.964839,115.83908
